name,type,name_with_type,federal_district,region_code,fias_id,okato,oktmo,tax_office,postal_code,iso_code,timezone,geoname_code,geoname_id,geoname_name,TimeShiftToMoscow,phone_codes
Адыгея,Респ,Респ Адыгея,Южный,79,d8327a56-80de-4df2-815c-4f6ab1224c50,79000000000,,100,385000,RU-AD,UTC+3,RU.01,584222,Adygeya Republic,0,877,,
Башкортостан,Респ,Респ Башкортостан,Приволжский,80,6f2cbfd8-692a-4ee4-9b16-067210bde3fc,80000000000,80000000,200,452000,RU-BA,UTC+5,RU.08,578853,Bashkortostan Republic,2,347,,
Бурятия,Респ,Респ Бурятия,Дальневосточный,81,a84ebed3-153d-4ba9-8532-8bdf879e1f5a,81000000000,81000000,300,671000,RU-BU,UTC+8,RU.11,2050915,Buryatiya Republic,5,301,,
Алтай,Респ,Респ Алтай,Сибирский,84,5c48611f-5de6-4771-9695-7e36a4e7529d,84000000000,84000000,400,649000,RU-AL,UTC+7,RU.03,1506272,Altai,4,388,,
Дагестан,Респ,Респ Дагестан,Северо-Кавказский,82,0bb7fa19-736d-49cf-ad0e-9774c4dae09b,82000000000,,500,368000,RU-DA,UTC+3,RU.17,567293,Dagestan,0,872,,
Ингушетия,Респ,Респ Ингушетия,Северо-Кавказский,26,b2d8cd20-cabc-4deb-afad-f3c4b4d55821,26000000000,26000000,600,386000,RU-IN,UTC+3,RU.19,556349,Ingushetiya Republic,0,873,,
Кабардино-Балкарская,Респ,Респ Кабардино-Балкарская,Северо-Кавказский,83,1781f74e-be4a-4697-9c6b-493057c94818,83000000000,,700,,RU-KB,UTC+3,RU.22,554667,Kabardino-Balkariya Republic,0,866,,
Калмыкия,Респ,Респ Калмыкия,Южный,85,491cde9d-9d76-4591-ab46-ea93c079e686,85000000000,,800,,RU-KL,UTC+3,RU.24,553972,Kalmykiya Republic,0,847,,
Карачаево-Черкесская,Респ,Респ Карачаево-Черкесская,Северо-Кавказский,91,61b95807-388a-4cb1-9bee-889f7cf811c8,91000000000,,900,,RU-KC,UTC+3,RU.27,552927,Karachayevo-Cherkesiya Republic,0,878,,
Карелия,Респ,Респ Карелия,Северо-Западный,86,248d8071-06e1-425e-a1cf-d1ff4c4a14a8,86000000000,,1000,,RU-KR,UTC+3,RU.28,552548,Karelia,0,814,,
Коми,Респ,Респ Коми,Северо-Западный,87,c20180d9-ad9c-46d1-9eff-d60bc424592a,87000000000,,1100,,RU-KO,UTC+3,RU.34,545854,Komi,0,821,,
Марий Эл,Респ,Респ Марий Эл,Приволжский,88,de2cbfdf-9662-44a4-a4a4-8ad237ae4a3e,88000000000,,1200,,RU-ME,UTC+3,RU.45,529352,Mariy-El Republic,0,836,,
Мордовия,Респ,Респ Мордовия,Приволжский,89,37a0c60a-9240-48b5-a87f-0d8c86cdb6e1,89000000000,,1300,,RU-MO,UTC+3,RU.46,525369,Mordoviya Republic,0,834,,
Саха /Якутия/,Респ,Респ Саха /Якутия/,Дальневосточный,98,c225d3db-1db6-4063-ace0-b3fe9ea3805f,98000000000,,1400,,RU-SA,UTC+9,RU.63,2013162,Sakha,6,411,,
Северная Осетия - Алания,Респ,Респ Северная Осетия - Алания,Северо-Кавказский,90,de459e9c-2933-4923-83d1-9c64cfd7a817,90000000000,,1500,,RU-SE,UTC+3,RU.68,519969,North Ossetia,0,867,,
Татарстан,Респ,Респ Татарстан,Приволжский,92,0c089b04-099e-4e0e-955a-6bf1ce525f1a,92000000000,,1600,420000,RU-TA,UTC+3,RU.73,484048,Tatarstan Republic,0,843| 855,,
Тыва,Респ,Респ Тыва,Сибирский,93,026bc56f-3731-48e9-8245-655331f596c0,93000000000,,1700,660000,RU-TY,UTC+7,RU.79,1488873,Republic of Tyva,4,394,,
Удмуртская,Респ,Респ Удмуртская,Приволжский,94,52618b9c-bcbb-47e7-8957-95c63f0b17cc,94000000000,,1800,,RU-UD,UTC+4,RU.80,479613,Udmurtiya Republic,1,341,,
Хакасия,Респ,Респ Хакасия,Сибирский,95,8d3f1d35-f0f4-41b5-b5b7-e7cadf3e7bd7,95000000000,,1900,655000,RU-KK,UTC+7,RU.31,1503834,Khakasiya Republic,4,390,,
Чеченская,Респ,Респ Чеченская,Северо-Кавказский,96,de67dc49-b9ba-48a3-a4cc-c2ebfeca6c5e,96000000000,,2000,,RU-CE,UTC+3,RU.12,569665,Chechnya,0,871,,
Чувашская Республика -,Чувашия,Чувашская Республика - Чувашия,Приволжский,97,878fc621-3708-46c7-a97f-5a13a4176b3e,97000000000,,2100,,RU-CU,UTC+3,RU.16,567395,Chuvashia,0,835,,
